D328,SUAPCF----
D6CR,SUAPCF----
DA42,SUAPCF----
DA62,SUAPCF----
DC10,SUAPCF----
DC3,SUAPCF----
DC6,SUAPCF----
DC85,SUAPCF----
DC86,SUAPCF----
DC87,SUAPCF----
DC91,SUAPCF----
DC92,SUAPCF----
DC93,SUAPCF----
DC94,SUAPCF----
DC95,SUAPCF----
DH2T,SUAPCF----
DH8A,SUAPCF----
DH8B,SUAPCF----
DH8C,SUAPCF----
DH8D,SUAPCF----
DHC2,SUAPCF----
DHC3,SUAPCF----
DHC4,SUAPCF----
DHC5,SUAPCF----
DHC6,SUAPCF----
DHC7,SUAPCF----
DOVE,SUAPCF----
E110,SUAPCF----
E120,SUAPCF----
E135,SUAPCF----
E145,SUAPCF----
E170,SUAPCF----
E75S/L,SUAPCF----
E190,SUAPCF----
E290,SUAPCF----
E195,SUAPCF----
E295,SUAPCF----
E35L,SUAPCF----
E545,SUAPCF----
E550,SUAPCF----
E50P,SUAPCF----
E55P,SUAPCF----
E75L,SUAPCF----
E75S,SUAPCF----
EC20,SUAPCH----
EC25,SUAPCH----
EC35,SUAPCH----
EC45,SUAPCH----
EH10,SFAPMH------
EUFI,SFAPMFF-----
P212,SUAPCF----
ECHO,SUAPCF----
EV97,SUAPCF----
EVSS,SUAPCF----
EXPL,SUAPCH----
F100,SUAPCF----
F27,SUAPCF----
F28,SUAPCF----
F2TH,SUAPCF----
F406,SUAPCF----
F50,SUAPCF----
F70,SUAPCF----
F900,SUAPCF----
FA20,SUAPCF----
FA50,SUAPCF----
FA7X,SUAPCF----
G159,SUAPCF----
G21,SUAPCF----
G280,SUAPCF----
G73T,SUAPCF----
GA8,SUAPCF----
GL5T,SUAPCF----
GLEX,SUAPCF----
GLF4,SUAPCF----
GLF5,SUAPCF----
GLF6,SUAPCF----
GLID,SUAPC-------
GOLF,SUAPCF----
HERN,SUAPCF----
H25B,SUAPCF----
H25C,SUAPCF----
H47,SFAPMHCH--
H64,SFAPMHA---
HDJT,SUAPCF----
HURI,SUAPMFF-----
I114,SUAPCF----
IL18,SUAPCF----
IL62,SUAPCF----
IL76,SUAPCF----
IL86,SUAPCF----
IL96,SUAPCF----
J328,SUAPCF----
JS31,SUAPCF----
JS32,SUAPCF----
JS41,SUAPCF----
JU52,SUAPCF----
L101,SUAPCF----
L188,SUAPCF----
L410,SUAPCF----
LANC,SUAPMFB-----
LJ35,SUAPCF----
LJ60,SUAPCF----
LYNX,SFAPMHS-----
MCR1,SUAPCF----
MD11,SUAPCF----
MD81,SUAPCF----
MD82,SUAPCF----
MD83,SUAPCF----
MD87,SUAPCF----
MD88,SUAPCF----
MD90,SUAPCF----
MI8,SUAPCH----
MI24,SUAPCH----
MU2,SUAPCF----
N262,SUAPCF----
NOMA,SUAPCF----
P06T,SUAPCF----
P28A,SUAPCF----
P28B,SUAPCF----
P68,SUAPCF----
P180,SUAPCF----
P208,SUAPCF----
P210,SUAPCF----
PA18,SUAPCF----
PA31,SUAPCF----
PA32,SUAPCF----
PA44,SUAPCF----
PA46,SUAPCF----
PC12,SUAPCF----
PC6T,SUAPCF----
PISI,SUAPCF----
PITA,SUAPCF----
PIVI,SUAPCF----
PTS1,SUAPCF----
RJ1H,SUAPCF----
R200,SUAPCF----
R66,SUAPCH----
RJ70,SUAPCF----
RJ85,SUAPCF----
RV6,SUAPCF----
RV9,SUAPCF----
S210,SUAPCF----
S58T,SUAPCH----
S601,SUAPCF----
S61,SUAPCH----
S65C,SUAPCH----
S76,SUAPCH----
S92,SUAPCH----
SB20,SUAPCF----
SC7,SUAPCF----
SF34,SUAPCF----
SF50,SUAPCF----
SH33,SUAPCF----
SH36,SUAPCF----
SIRA,SUAPCF----
SPIT,SUAPCF----
SR22,SUAPCF----
SU95,SUAPCF----
TRF1,SUAPCF----
T134,SUAPMF----
T144,SUAPMF----
T154,SUAPMF----
T204,SUAPMF----
TB20,SUAPCF----
TL20,SUAPCF----
TRIS,SUAPCF----
TWEN,SUAPCF----
WW24,SUAPCF----
Y12,SUAPCF----
YK40,SUAPMF----
YK42,SUAPMF----
YS11,SUAPCF----
